crash_date,crash_time,borough,zip_code,longitude,latitude,on_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed
2019-01-01T00:00:00.000,3:22,BRONX,10455,-73.9060700,40.8126200,,1,0,0,0,1,0,0,0
2019-01-01T00:00:00.000,0:10,,,,,EAST GUN HILL ROAD              ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,6:30,BROOKLYN,11219,-73.9893400,40.6342600,48 STREET                       ,1,0,1,0,0,0,0,0
2019-01-01T00:00:00.000,11:45,QUEENS,11372,-73.8852300,40.7555600,,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,2:00,BROOKLYN,11203,-73.9219200,40.6449100,CLARENDON ROAD                  ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,8:28,BRONX,10455,-73.9141100,40.8123000,EAST 146 STREET                 ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,8:00,,,-73.8992200,40.6591100,NEW LOTS AVENUE                 ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,23:39,BROOKLYN,11203,-73.9303900,40.6517330,UTICA AVENUE                    ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,20:17,BRONX,10466,-73.8408700,40.8905450,STRANG AVENUE                   ,3,0,0,0,0,0,3,0
2019-01-01T00:00:00.000,19:00,QUEENS,11368,-73.8546500,40.7383800,,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,22:40,MANHATTAN,10035,-73.9397050,40.8070340,MADISON AVENUE                  ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,15:00,,,-73.9063800,40.6828000,BUSHWICK AVENUE                 ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,4:50,,,-73.8257100,40.7510000,MAIN STREET                     ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,17:00,,,-73.9762200,40.5798260,NEPTUNE AVENUE                  ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,4:30,BROOKLYN,11207,-73.9100340,40.6826550,BROADWAY                        ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,0:00,,,-73.9191200,40.7319830,LONG ISLAND EXPRESSWAY          ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,3:00,QUEENS,11355,-73.8263700,40.7518580,DAHLIA AVENUE                   ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,15:55,,,-73.7956600,40.7730370,26 AVENUE                       ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,14:30,BRONX,10466,-73.8613700,40.8946600,EAST 233 STREET                 ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,5:30,BROOKLYN,11223,-73.9730000,40.6088140,AVENUE P                        ,1,0,0,0,0,0,1,0
2019-01-01T00:00:00.000,12:30,BROOKLYN,11212,-73.9101640,40.6674540,,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,9:10,BROOKLYN,11219,-73.9993300,40.6246530,65 STREET                       ,1,0,1,0,0,0,0,0
2019-01-01T00:00:00.000,1:15,BROOKLYN,11237,-73.9144200,40.7013900,,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,13:30,BROOKLYN,11214,-73.9996100,40.6145820,,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,19:00,,,,,GRAND ARMY PLAZA                ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,2:20,QUEENS,11377,-73.8968700,40.7489930,BROADWAY                        ,0,0,0,0,0,0,0,0
